,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
414,645adbed543f4d829bf94da958d37e73,TA5751,1,26.8,26.80000000000005,323101.185497802,624,291,640.4255981445312,267.67074584960943,0.9084665347557916,1864.670258283615,59.22759129873021,0.2883373064254909,305.8842409329197,548.3913376841056,-1.4311079318607125,140.7619909426837,215,150
207,3129a0f0f16b4e82ab37a971aa4e8812,0232,1,23.6,20.4,283807.86318113224,570,328,603.1983642578125,221.2523956298828,0.9303003222748688,1602.0184564590454,42.609355272268154,0.26670300760789706,219.62307763145782,462.54984344783134,1.1895896555688967,43.60400664005425,172,27
490,9bf53c1767a54fb9b7716a608b8a392b,TA0432,0,14.3,22.300000000000008,190734.94574914017,444,347,496.23870849609375,209.0130920410156,0.9069702651626724,1477.3321647644045,41.3504210729424,0.2431517573552437,257.56471950778143,399.68807817589584,-1.0515278053129096,29.99314778692611,200,86
853,3c4cc678971545e38426365c8cd0ef10,TA0438,1,13.9,27.699999999999992,218975.37091594207,607,279,597.8184814453125,252.22869873046875,0.9066353024654592,1674.3027272224426,51.968998743192294,0.19933584335676766,163.64297597441882,358.28865266614815,1.381968451726664,100.73914972081758,35,40
206,dc9c09e4fecc4e5489440d970d247c87,0268,1,24.5,13.5,285409.94334134646,581,305,617.2279663085938,214.767822265625,0.9375110766882332,1840.795148730278,43.87484023618637,0.21345608051706452,258.60542314894013,445.1254767793985,-1.2544653872363136,28.15044475151367,149,79
1381,5681ff384266439db615c8f3d75b432d,TA0160,1,20.2,17.700000000000024,216212.28681137934,593,248,575.7295532226562,232.57237243652344,0.914776141606124,1752.5108779668808,56.129491961752656,0.2749669427239195,220.61742240474769,447.2657023907574,-1.5525531604943028,30.28163175872912,124,98
60,22c5e1e9647f4edfad8b67fb6d569f57,0236,0,25.5,26.80000000000005,289474.91005292564,538,283,595.093505859375,168.67613220214844,0.958988566978164,1465.5748053789139,40.157186551885744,0.2555178655633471,305.74421864050447,476.631803316982,1.2249246761483297,84.21644141762309,193,167
1330,28a88f44d2564610b414285c2ec21cf1,TA0427,0,18.9,26.80000000000005,220904.47857786051,509,348,517.5025634765625,278.41604614257807,0.8429452487528527,1598.7535185813904,47.0550035716605,0.2961458131227245,241.71288316303864,479.5050755219903,1.1626896342401298,55.53149896619091,190,88
476,ed33cba9416f405a9217f7f67c74674d,TA5751,1,26.8,24.0,254543.7217603889,679,241,680.5358276367188,230.7298126220703,0.94077145800156,1763.1311542987823,59.16496706285018,0.2897590420668705,260.26018826770746,481.58903493667015,1.4990558004914505,61.04893261622157,116,146
1756,89f12ca764724410831457079245df57,TA5751,1,26.8,27.20000000000001,260777.1261575713,626,293,607.5237426757812,285.0164489746094,0.8831213943872789,1758.4692478179932,57.46183640920483,0.25344269978907896,248.47834058506416,466.0937160787748,-1.5495952557674872,42.93906371122743,145,116
1549,f73090d6157e4ce591395aba579e7127,TA0440,1,16.0,25.4,196080.5324472316,571,304,634.836669921875,190.87936401367188,0.953726736590356,1657.9007062911987,41.0007488232777,0.322398014580425,296.3988603633371,543.0554980611214,1.2229233733467841,131.7385405599473,262,133
99,00635ae09a834ebf86ee85c58c12ff82,0251,0,24.2,26.80000000000005,201016.79855195765,565,245,523.7468872070311,250.5692443847656,0.878132954034946,1552.6286281347275,49.95968155260191,0.17068177812724536,235.9026653193528,407.5007414600858,-1.5516536438316446,17.000402461476202,109,108
681,0d9d51559c494a06ad2087f8531129df,TA5751,1,26.8,26.80000000000005,269534.52188364806,574,349,561.0525512695311,303.4783020019531,0.8410812050104433,1719.6164355278015,49.454146876141756,0.2549750149128211,258.06984870557096,475.53192036333513,-1.3331246597819562,54.60822510002809,198,116
1290,abd1d2f34d6e4317a82925f319e50ace,TA5751,1,26.8,18.900000000000002,272100.7547825737,616,298,598.1827392578125,284.8892517089844,0.8793056455355369,1740.3271124362946,55.94102855419806,0.25866814480675865,253.75084832426901,467.19966531864446,-1.5111967735099188,45.335382575643386,154,123
1536,699ae56756764ce4b0e346c56eacb884,TA5751,1,26.8,26.80000000000005,263689.14374319284,678,243,673.96728515625,238.5872344970703,0.9352438410684276,1758.5869979858398,59.29721389268974,0.2766834631241411,257.21093387168617,471.3781455258893,1.5173379618387242,50.40738951987,108,140
1751,52ffd277c05a4a2a97208c58173ec8f1,TA0440,1,16.0,26.80000000000005,202949.96940978558,615,322,680.4259033203125,206.23318481445312,0.9529605817141408,1786.2438521385193,40.147991347055495,0.3198258079303232,250.5395846458216,513.4574532754181,1.2586904174796063,90.07618326189251,214,69
1401,895ec8348a2c43fd9d1e9e6c5ca1ee26,TA433,0,17.7,26.8,216406.49360522468,533,424,629.2592163085938,193.5308380126953,0.951530808849634,1797.2631850242615,34.720177862920764,0.29649129404685803,218.8903688773404,436.2234998421525,-0.9353361608608964,24.393246494180765,162,24
129,3e7145b7daea41bcacb0628bfb30303f,0251,0,24.2,24.5,277255.8514258852,605,280,665.3077392578125,183.07406616210938,0.9613950105621044,1667.4915450811386,42.573013684445726,0.27006734561873,266.4451362437738,377.8386561187616,-1.3533519670051493,53.19976409603433,64,134
1853,8ac4c40471b14396a3e65f2d963d9b85,TA0159,1,22.3,22.8,287681.6090886589,451,292,469.3472290039063,288.4901123046875,0.7887902678404431,1438.337217092514,62.33379849683713,0.5295086776952763,257.23263831702843,539.1004973813367,-1.4598585027373978,116.3833678873258,313,110
96,07e46b8a7a394a0f9f420dfb6ea61d5e,0272,1,22.3,16.800000000000008,238698.0918735685,622,340,585.355224609375,283.6849060058594,0.8747152694908892,1913.807341337204,38.11938329623217,0.12875127918322662,249.21513512266574,412.32131858498946,-1.2523522235875133,14.876502106419403,91,117
1544,3be37b45cf5c48269000e1994652a5a7,TA433,0,17.7,26.80000000000005,205262.4595020127,529,422,620.4365234375,200.5707855224609,0.9463055219989818,1807.40532040596,34.48676594052406,0.3025265535576057,218.36876486016132,447.0053680417678,-0.9379757743692608,31.577797459800507,175,26
382,0fde2b5fc11d454096f9954120c58867,TA5751,1,26.8,27.20000000000001,272474.12006555835,603,333,584.3796997070312,303.555908203125,0.8545009788993833,1764.285482287407,52.10518861474145,0.25766882585064405,254.69385664291283,474.0950153221273,-1.4297621106381593,52.20555509873106,175,117
293,bc0939e5207444bdbd8ecf1906910e7e,TA347,0,20.4,17.700000000000024,232678.86362383282,514,439,633.7254028320312,187.85281372070312,0.9550557613479892,1570.0672268867493,32.00763345858299,0.2028206674181456,214.42848651929788,450.2071677879508,0.9225799417535004,36.61581550586492,186,27
439,2e18cc5a65684b61a075e2a2a7d53679,TA0855,0,26.6,26.80000000000005,280014.912446368,447,382,473.2259216308594,302.7484436035156,0.7685792715520158,1606.2783420085907,49.91692739238322,0.4754979246436501,184.02127036273654,386.14273009761564,1.0609840218461728,67.57803678906197,138,32
897,91c942f43c7b4674ac71a93b29ac6771,TA0185,0,22.8,25.8,228041.0861983441,551,232,559.3885498046875,210.31686401367188,0.9266292601781988,1443.8103057146072,55.00379667679114,0.30463665033885795,257.92024420341625,519.8472169903227,1.4868379368533895,97.50807226635182,221,140
1722,97062403aeff45b4abf7db4aed0904ec,TA332,1,20.4,16.1,253834.7946169641,549,360,639.9994506835938,179.0309600830078,0.9600769270410122,1659.7240810394287,34.75186460126219,0.3206780954457497,226.4910620537589,386.998674401512,1.1008243206594508,39.39022087372346,97,35
1520,68a7c053bad249fca802d0ad3fc939c3,TA332,1,20.4,24.0,278638.1155235695,532,445,672.7381591796875,181.7904052734375,0.9627973105973732,1593.0794194936752,33.31240478453022,0.2596267289908649,256.78588922175334,302.76386914784285,0.9184460191253508,122.39266931056923,12,17
