,uuid,id,sex,area,width,height,MA,ma,% area,eccentricity,perimeter,symmetry,weight,x,y,centroid_x,centroid_y,center distance,orientation
57,54dc10e75aac43c3828227826b97919a,0238,1,309142.8390601809,520,205,522.7870483398438,192.4538116455078,59.344314222363,0.9297741658848064,1458.9230035543442,0.32175817536439844,25.8,181,164,262.9280327389652,426.9658725518854,23.119063243848963,-1.4942513223713845
58,f20f927f8b424ab490177341bdac2096,0236,0,294317.44379123405,568,323,667.9932250976562,167.37619018554688,36.40892354342647,0.968099597084778,1563.983966588974,0.27178064568005467,25.5,194,104,271.3087912511071,487.7654896222419,71.03715982758347,1.183478758901541
59,014c4190c4b14a0fb7f0018edc587bcd,0267,0,248741.99521470396,648,237,653.7603149414062,215.32647705078125,57.95832636294355,0.9442022984771411,1618.337217092514,0.35896238926316903,20.1,158,103,216.87902219747818,509.49752043961934,88.56864917039117,1.4757775308406973
60,22c5e1e9647f4edfad8b67fb6d569f57,0236,0,289474.91005292564,538,283,595.093505859375,168.67613220214844,40.157186551885744,0.9589885669781639,1465.5748053789139,0.2555178655633471,25.5,193,167,305.7442186405045,476.63180331698203,84.2164414176231,1.2249246761483297
61,ff3fd2bdbd9a4f569dc3d177d498247b,0234,1,257887.5539749076,510,181,515.5689697265625,155.47496032714844,58.18841352821936,0.9534472128395093,1296.6315925121307,0.27639886784236883,24.6,174,153,254.61352572409203,433.0231849542955,17.17477804247043,1.5219486833514808
62,20f7e5f5f6bf4250b2f7908afa72897b,0238,1,290143.05203887454,526,166,550.8089599609375,156.64657592773438,64.92842981328569,0.9587075916635153,1407.9696860313416,0.32111721824612677,25.8,147,212,297.5522789491379,401.96357843843555,61.62685037772384,-1.5238946401744227
63,3a37bec1a899476ca056cca3b56302b1,0274,0,214553.66792523157,468,276,500.41729736328125,186.5263214111328,48.48949010562957,0.927935198928244,1261.0996288061142,0.4708402692335529,25.4,344,157,302.79362843823503,613.4869794234046,199.6205278608512,-1.1111292568727436
64,2134c22ece484bc2bcc5c0228af19cb0,0268,1,294805.36875186086,564,311,591.056396484375,224.99366760253906,46.04489592259548,0.9247135817587875,1789.4570552110672,0.2856976106266998,24.5,101,106,292.3231614730878,388.01326912181304,63.50400007745869,-1.2999408265888592
65,d2a64a1a81264b1ba6d990717b05776f,0236,0,290246.1459148725,568,323,667.74755859375,167.67872619628906,36.23835824128222,0.9679583095292928,1565.883461356163,0.2684995691512279,25.5,193,105,273.07366641719784,486.1162352576841,70.3725379168894,1.1841268275449586
66,50268bfd0f0746829506a1a373f4d1b0,0274,0,247574.69095396713,690,239,725.0558471679688,191.84005737304688,48.04399021423509,0.9643619310447888,1828.8468835353851,0.15621759215612332,25.4,66,108,236.08284164932982,440.08113638688997,16.551346683517373,1.418211248773325
67,f07fd6d3a683457dad9072444ae2886b,0230,0,305428.2209576463,510,345,568.79052734375,196.76718139648438,41.69638996973627,0.9382567752294757,1437.3910398483276,0.3610528887574421,25.5,171,96,297.28339372735223,422.6383231288267,57.29957557281158,-1.0872197077871497
68,ea3f8b8e20d942eb96970a4d75a40050,0268,1,286590.3876745294,568,306,591.288330078125,223.00950622558594,46.296971706454464,0.9261486680974441,1791.3565499782562,0.28813378907404996,24.5,101,104,285.6573393652689,388.06415055343774,58.103166121660905,-1.3113029781046794
69,6da8368388a5418488e5a301e97409f6,0239,1,238092.74072755888,502,325,531.71826171875,201.51031494140625,36.27094575404715,0.9254050719383546,1410.136206626892,0.20012410797393732,22.8,176,107,227.5284773576132,432.958495207524,15.355569458759792,1.109852433753379
70,39a43bbdda2d4017a74f5a5094a2d2a1,0236,0,289217.604612901,562,299,648.0697021484375,164.10360717773438,37.35855966479785,0.9674089635014452,1521.7585709095001,0.26299100128553066,25.5,180,134,287.1758109840941,473.1877472512482,68.15417537950002,1.2265646675755038
71,b98816a9a4644cf78f5a5e73f14a9454,0253,1,260626.05593052745,613,377,695.8353271484375,195.3944549560547,36.136860116451956,0.9597646671387453,1738.795148730278,0.3038087206254416,21.8,199,46,255.26127631506623,495.1942615291596,72.81160229968279,-1.1509346456538876
72,b16c468099534584aa38a4fd687db134,0236,0,288346.3948974645,568,324,667.3742065429688,167.24990844726562,36.32647134109122,0.9680884178397554,1563.3981801271439,0.27126566466535035,25.5,195,104,273.2210089876645,488.6671860111766,72.7013093744714,1.1833069797939961
73,0829849f0b6c481a89e24659552fd558,0235,1,272369.8405654814,486,242,464.4832458496094,207.35057067871094,54.072713668673266,0.8948278880176331,1371.7686755657196,0.3256741389248049,22.9,159,222,329.75425179082555,403.87421059805246,91.98300448225453,-1.3860703315374592
74,1c53cb5bbac9474a9b1d3b5db57cbc38,0268,1,296075.1853912372,533,293,588.427001953125,204.5716094970703,44.7129953465017,0.9376212528997796,1605.2905346155167,0.27106141781194193,24.5,106,129,303.27652450875894,380.26724516282746,76.9186089288919,-1.2870751656801682
75,4d415c52ae634a4d9435b6b50a8142e7,0238,1,272991.4251777495,612,262,652.2424926757812,177.5185089111328,44.22365386685705,0.9622501940220919,1596.8224983215332,0.3220866296714879,25.8,158,114,258.627566558601,493.2015792317516,71.66480868643625,1.3189974917501555
76,d435f9c0a4c44985ace99fc5b7985dc8,0268,1,289889.6595146219,546,305,598.32373046875,200.14878845214844,44.479077953784135,0.9423901139599077,1718.0428416728973,0.2910544019828524,24.5,162,109,279.6857778266554,439.904908537703,42.75426384934433,-1.193339146430889
77,bd0202e3b13947c996004abec1fd3cc7,0268,1,295081.3707552283,559,312,590.4957885742188,224.38233947753906,46.08995225694444,0.9249907024801818,1777.5575604438782,0.2992032290803887,24.5,102,108,293.934316566306,386.97829039706613,65.4180211057968,-1.2962411297419807
78,05a24cd7c75147a58b0fc42431b87625,0230,0,303493.560366447,507,329,561.8250122070312,194.12094116210938,42.43090719997272,0.9384119346902765,1397.1067690849304,0.3684972826448038,25.5,183,103,295.76022026772586,432.62791777359365,56.423781594405725,-1.1245922302535318
79,5d878c7a623c443da261ac4b885f6ef7,0253,1,266331.65191149176,591,392,685.691162109375,190.50711059570312,34.954472046160966,0.9606296097681021,1707.7657111883163,0.2725828363535886,21.8,191,29,248.41004445834542,474.1370165992717,50.8374791002366,-1.0575622142126881
80,f604fdd70a294487b967b236e60506f6,0268,1,301241.35050044523,540,300,575.7576904296875,218.73736572265625,46.5932531404997,0.9250225548828165,1672.3443573713303,0.25238195017933956,24.5,105,123,299.595477266748,384.29705101528305,71.60967161448593,-1.275606036559564
81,7a3bf25facae4a9586775ec4ffb7271e,0236,0,293579.22846017557,569,325,671.91064453125,167.3905487060547,36.04610463477001,0.9684710290860001,1571.6408207416534,0.26879837448367133,25.5,195,102,270.5432250467194,489.0294268233367,71.84507602630988,1.1829246396115867
82,1307396f04b0498981849ed7c732a228,0234,1,274516.92642642546,587,215,642.79736328125,181.5003204345703,52.79712785339192,0.9593084907252443,1582.8986183404922,0.29405929976944933,24.6,119,132,229.77728144591342,412.0360062306098,15.7366172206759,-1.54030092216021
83,340d56778be145e4b7c2abf95fd82394,0268,1,292145.8761809326,579,308,603.3565063476562,226.8236541748047,47.47609643442977,0.9266454804862203,1779.5991905927658,0.2990355146926266,24.5,98,89,270.41169007306297,390.83375989849935,44.99855970551087,-1.3264713717928542
84,3e7323c94cdc433e871a4a52056a9305,0268,1,292447.62456621055,553,305,596.7198486328125,200.93795776367188,44.4956176289423,0.9415985595593112,1713.9007062911987,0.2927676279631587,24.5,161,108,279.9850907940217,440.09338639793583,43.10225715156254,-1.2007761890576334
85,7d061258ebd84233b8eec713c5325aaf,0239,1,236113.48641837673,502,330,531.3451538085938,204.90792846679688,36.1629538185287,0.9226493453991694,1422.6214878559113,0.19131210034431875,22.8,173,102,224.4705314009662,431.1525232255667,17.097455467426965,1.0976655247182505
86,48d014dfac0c49efb5845c2f4443e534,00221,1,263432.27199153893,671,357,700.0216064453125,233.89251708984375,38.66650590788522,0.9425298863060305,1802.0428416728973,0.2791328995169468,22.1,65,67,281.63149872331337,378.3916952262599,61.751916166898056,-1.2329446633115222
87,9a4182d256ff485b9c3cc98cf53a83f3,0274,0,254933.82680199418,682,241,719.1560668945312,192.40170288085938,48.54714393117658,0.9635472609177311,1813.3321647644043,0.16672717690460853,25.4,71,110,239.34753158197768,438.79923006581697,14.813606096339187,1.4153640334054833
88,c719aaff9c324e99beceb24725a0ddec,0268,1,285681.61368022894,576,306,596.5390625,224.8899383544922,46.4304044904556,0.926216866609215,1820.9128988981247,0.28529812745429334,24.5,100,93,274.88333804489173,390.75228133657487,48.18981292219818,-1.3232426995798212
89,702a8ca1ff994ddd99eb3f8e096eea37,0272,1,239063.01545269066,621,342,586.8278198242188,284.6011657714844,38.025005904045635,0.8745239101922224,1912.7362736463547,0.1334721203662085,22.3,94,119,250.69456172556218,414.0448026617714,14.610941261429147,-1.2507991332607191
90,8b7d5b304d78447f9c8e2c01ba68b6ee,0276,1,293755.86467780045,569,310,624.3348388671875,185.87582397460938,40.66528066528066,0.9546538078761349,1565.3321647644043,0.31252930516658006,23.0,231,71,243.43484720124744,527.7373629476838,103.79421297276352,1.174672050883657
91,6ed5aa4ef904498b899a8166c10e82cd,0253,1,263859.8405678732,591,393,684.6104736328125,191.21697998046875,34.804291239934805,0.9602016486730202,1705.5230705738068,0.26768487817276476,21.8,195,26,246.65197078002106,478.62699710937324,55.03051452099758,-1.0593326241349537
92,43cec412a6034595834c1e6c0229eba4,0232,1,285170.86185098486,570,221,569.8294067382812,217.1450958251953,59.27088326941515,0.9245460413200449,1678.5281229019165,0.28352432838624836,23.6,216,113,223.9733486277716,479.4404676193149,57.71047568730703,1.5336233952223068
93,c06ad293ebc947f483bfd50f3a282816,0271,1,247095.92122202905,543,190,571.4406127929688,171.4491424560547,60.5521778584392,0.9539298679386367,1394.9574934244156,0.33439254001722446,20.5,105,183,274.7617271018382,394.8959376659157,45.336785455620195,1.4686062910426663
94,9212883a55774a13a4106381dadd87d1,0233,0,304835.82182470465,508,400,625.1134033203125,185.79312133789062,34.434479185294215,0.9548105595487328,1578.0255967378616,0.2676716343044207,24.2,177,18,243.27672076105205,426.8111868545556,4.317368466686136,0.9616387270108901
95,65596c4ef809462a9429c2c5f1f4e205,0271,1,246339.65617993308,543,190,571.5381469726562,172.0462188720703,60.62522686025408,0.9536168294152266,1398.3717069625854,0.33567657353028413,20.5,106,183,274.4796601183568,396.013727091662,44.40808972673082,1.4701331602674144
96,07e46b8a7a394a0f9f420dfb6ea61d5e,0272,1,238698.09187356854,622,340,585.355224609375,283.6849060058594,38.11938329623217,0.8747152694908892,1913.807341337204,0.12875127918322662,22.3,91,117,249.21513512266577,412.32131858498946,14.876502106419405,-1.2523522235875133
97,0798e7ee972b41a7a986d89795a4cfe9,0239,1,235667.24832654558,495,331,514.6732177734375,214.1808624267578,36.10345023266372,0.9092963321970713,1412.5798577070236,0.17639732212361825,22.8,192,103,224.38496706469758,448.3862303365717,28.957166359968824,1.0893331805417732
98,615027aa09da471caba1692bab73904e,0268,1,286321.86896098853,569,296,614.5006713867188,223.719482421875,50.4103917350186,0.9313727184769546,1781.0306490659714,0.3002280966600919,24.5,96,97,265.5940869154768,392.34455088664083,40.70779708612899,-1.3390489963147465
99,00635ae09a834ebf86ee85c58c12ff82,0251,0,201016.79855195768,565,245,523.7468872070312,250.56924438476562,49.95968155260191,0.878132954034946,1552.6286281347275,0.17068177812724536,24.2,109,108,235.90266531935276,407.5007414600858,17.000402461476202,-1.5516536438316446
