,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
750,fce286a3d822472d9cc92042ced3d63c,TA433,0,17.7,26.799999999999965,215918.8182119736,537,424,632.47802734375,191.8701934814453,0.9528751853494386,1798.4347579479218,34.76713789877689,0.2992477082502989,218.29412757747497,432.26626070179674,-0.9343108646242336,23.2266218726056,155,22
994,16ece5ab3aee4020ac4cdb5959c6c88c,TA332,1,20.4,26.799999999999965,250628.34143541296,552,358,641.8173217773438,180.3560791015625,0.9597052991680932,1678.4520028829575,34.692785016131644,0.3183077926312357,220.8080897819469,382.3810768085078,1.1130226711907734,45.830821348052766,91,30
1300,2bf407d4f9414d99a1fc9f739a864a0f,TA433,0,17.7,26.799999999999965,184081.28013680736,512,304,449.48565673828125,253.31130981445312,0.8260763886618715,1681.1900293827055,36.275614754098356,0.1449659283012949,220.5487021201235,545.4058594342963,1.2384349294815682,122.95420161259977,302,44
200,b8af66d3bcb245199f0cf10b542aab6c,0274,0,25.4,18.900000000000002,245724.4356767145,690,239,725.0558471679688,191.84005737304688,0.9643619310447888,1828.846883535385,48.043990214235095,0.15621759215612332,236.08284164932982,440.08113638689,1.4182112487733252,16.551346683517373,66,108
1096,2e47ce0453524789b4c23ef1ce44579d,TA977,0,16.8,24.2,216192.2271959736,570,221,566.5975341796875,197.6573181152344,0.9371787251060252,1746.261097073555,55.236888282316244,0.2237183964240816,201.17902581125944,524.8364744935981,1.4783429405955248,108.05120371962957,246,96
365,0995e1a744e448e89d79bb75c6cef3ee,TA5751,1,26.8,26.799999999999965,271048.4400831602,617,320,595.6734008789062,295.55279541015625,0.8682277671918871,1763.2560447454453,53.04500685700037,0.25082847141190195,254.50986758339695,471.25232820400885,-1.4619458038644428,49.42993807387472,160,120
781,9de3e6e9d00d48b3b174bfeb93a07576,TA5751,1,26.8,25.8,272100.7547825737,616,298,598.1827392578125,284.8892517089844,0.8793056455355369,1740.3271124362946,55.94102855419806,0.25866814480675865,253.75084832426901,467.19966531864446,-1.5111967735099188,45.335382575643386,154,123
1512,8448c752054a40349206d79fbf9ec6e5,TA0440,1,16.0,27.200000000000014,207635.04330200673,593,313,655.8245849609375,204.3174133300781,0.950232128081294,1751.072279214859,41.05406543329123,0.32210239364881993,263.485581084044,517.6875497651661,1.2551440978945223,96.58638361516428,232,89
475,81e3d4b866e94b1e96b7a4e317f9efdd,TA5751,1,26.8,25.5,268468.85833809763,575,346,560.7784423828125,300.5646057128906,0.8442322911001937,1711.6164355278015,49.57753417908609,0.2534083062049916,258.9760960384154,477.16010564225684,-1.3346954846771275,56.44545201125665,198,117
1385,6ea462eb5c2a4975bed8f2d9bc6eb917,TA0427,0,18.9,26.799999999999965,241112.21589515664,641,311,646.5372314453125,242.2552032470703,0.927147546440514,1933.380935192108,47.00887880235706,0.20244529569187172,213.5554752255463,491.77213204895827,1.3812412175031268,72.74870976868345,185,58
1546,dbe5cd5677c14cff83cd9e90328ca9a7,TA5751,1,26.8,25.400000000000002,269868.5238763019,577,345,563.3491821289062,304.8879089355469,0.8408900991238517,1728.060086607933,50.079109302280294,0.26159295109970176,257.9987585000423,474.55397232959945,-1.3535898836636302,53.66245825383656,195,119
905,a0bab5caa35e4331bd4ec88aaf016e56,TA332,1,20.4,18.9,242728.6467290816,591,304,635.8876953125,178.7683868408203,0.959669105544675,1712.084471821785,41.29662138439517,0.33325127939366456,236.23473179765014,439.0120493987813,1.2475038083682708,15.477043380021806,132,64
285,78c169f4eb7c4adc9fc7848973da54eb,TA5751,1,26.8,16.10000000000001,256912.85771468896,680,242,675.37890625,241.4797821044922,0.9338950999747296,1755.4154250621796,59.47258407243163,0.27801765681020857,252.25495705601918,465.978523326496,1.5317928824905582,43.7307716958899,101,135
133,80cbbcb76e54437ea6c4234b990e32a0,0268,1,24.5,26.799999999999965,282613.8593332416,544,326,630.4264526367188,189.1364898681641,0.9539349341473032,1665.3565499782562,38.53625274642018,0.2758002727095643,280.3929871071817,431.7330648892668,-1.1851015035625014,41.126557113652986,158,89
1691,5605b749fd174f72b11c3dcbbfe67d2c,TA0427,0,18.9,26.799999999999965,234896.90317977266,655,299,670.8685913085938,254.08169555664062,0.9255049886687654,1918.8367788791656,47.89628597072701,0.17888541742352684,199.3729159782511,485.19061351597617,1.403376229051173,73.44965036385005,170,44
1862,5a818dd61a4c4e1e968a3d9a9ef0fa61,TA0440,1,16.0,27.200000000000014,193598.13684472532,634,343,717.7937622070312,197.79220581054688,0.9612850893577536,1791.6164355278015,38.92256902761105,0.30073282876270985,240.08543210916443,518.0842528638814,1.2171524803610585,94.08429165168884,202,49
275,4e1e7ebf69d242cb891f3941ab0ac946,TA0154,1,22.9,24.5,310972.8168069544,598,278,649.6727294921875,195.22262573242188,0.9537837687639332,1679.5331752300262,49.73485999932449,0.3727394169351489,286.7588886581487,409.23235657372703,1.3197606457192643,49.03546635763436,92,142
